R,c,k,window_start,window_end,ols_slope_per_tau,absolute_fitted_change_over_window,maximum_allowed_absolute_change,equilibrium_check_pass,minimum_pointwise_valid_replicates
1.0,0.0,1,3.0,3.25,0.02094207412800593,0.005235518532001483,0.01,True,120
1.0,0.0,2,3.0,3.25,0.017612780282551883,0.004403195070637971,0.01,True,120
1.0,0.0,3,3.0,3.25,-0.0007897514496128459,0.00019743786240321147,0.01,True,120
1.0,0.25,1,3.0,3.25,-0.014760664697133004,0.003690166174283251,0.01,True,120
1.0,0.25,2,3.0,3.25,-0.005453811965673202,0.0013634529914183006,0.01,True,120
1.0,0.25,3,3.0,3.25,-0.01674176191291924,0.00418544047822981,0.01,True,120
1.0,0.5,1,3.0,3.25,-0.016524694338467625,0.004131173584616906,0.01,True,120
1.0,0.5,2,3.0,3.25,-0.013682150690994302,0.0034205376727485756,0.01,True,120
1.0,0.5,3,3.0,3.25,0.01603102337808265,0.004007755844520663,0.01,True,120
1.0,0.75,1,3.0,3.25,0.007720907103200082,0.0019302267758000205,0.01,True,120
1.0,0.75,2,3.0,3.25,0.01904252195299326,0.004760630488248315,0.01,True,120
1.0,0.75,3,3.0,3.25,-0.003659441610049212,0.000914860402512303,0.01,True,120
1.0,1.0,1,3.0,3.25,-0.030448645714336333,0.007612161428584083,0.01,True,120
1.0,1.0,2,3.0,3.25,-0.009871370359792941,0.0024678425899482353,0.01,True,120
1.0,1.0,3,3.0,3.25,0.006533861025142111,0.0016334652562855277,0.01,True,120
1.5,0.0,1,3.0,3.25,-0.0031189908554333005,0.0007797477138583251,0.01,True,120
1.5,0.0,2,3.0,3.25,-0.0005199172369416476,0.0001299793092354119,0.01,True,120
1.5,0.0,3,3.0,3.25,0.0008239635384201565,0.00020599088460503912,0.01,True,120
1.5,0.25,1,3.0,3.25,0.001548340780608238,0.0003870851951520595,0.01,True,120
1.5,0.25,2,3.0,3.25,0.01230431640177162,0.003076079100442905,0.01,True,120
1.5,0.25,3,3.0,3.25,0.0019613412250979404,0.0004903353062744851,0.01,True,120
1.5,0.5,1,3.0,3.25,0.0013062742182844815,0.00032656855457112037,0.01,True,120
1.5,0.5,2,3.0,3.25,-0.01944577883132801,0.004861444707832003,0.01,True,120
1.5,0.5,3,3.0,3.25,-0.003985486074688207,0.0009963715186720517,0.01,True,120
1.5,0.75,1,3.0,3.25,0.007580861337801136,0.001895215334450284,0.01,True,120
1.5,0.75,2,3.0,3.25,0.02831477513867569,0.007078693784668922,0.01,True,120
1.5,0.75,3,3.0,3.25,0.007288112862769565,0.0018220282156923913,0.01,True,120
1.5,1.0,1,3.0,3.25,0.0017757421744303203,0.0004439355436075801,0.01,True,120
1.5,1.0,2,3.0,3.25,0.009859653251820786,0.0024649133129551965,0.01,True,120
1.5,1.0,3,3.0,3.25,0.01180034855521962,0.002950087138804905,0.01,True,120
2.0,0.0,1,3.0,3.25,0.00707222366990257,0.0017680559174756425,0.01,True,120
2.0,0.0,2,3.0,3.25,0.0068736847546256195,0.0017184211886564049,0.01,True,120
2.0,0.0,3,3.0,3.25,0.0043716826451964995,0.0010929206612991249,0.01,True,120
2.0,0.25,1,3.0,3.25,0.0011368650430089733,0.0002842162607522433,0.01,True,120
2.0,0.25,2,3.0,3.25,0.007432316788923822,0.0018580791972309554,0.01,True,120
2.0,0.25,3,3.0,3.25,0.007504856207905115,0.0018762140519762787,0.01,True,120
2.0,0.5,1,3.0,3.25,0.0011285592148412413,0.0002821398037103103,0.01,True,120
2.0,0.5,2,3.0,3.25,0.011201607634449518,0.0028004019086123795,0.01,True,120
2.0,0.5,3,3.0,3.25,0.010749846891615194,0.0026874617229037984,0.01,True,120
2.0,0.75,1,3.0,3.25,-0.008287859993963247,0.0020719649984908117,0.01,True,120
2.0,0.75,2,3.0,3.25,-0.011444323273302756,0.002861080818325689,0.01,True,120
2.0,0.75,3,3.0,3.25,-0.014714989152908213,0.0036787472882270533,0.01,True,120
2.0,1.0,1,3.0,3.25,-0.0025941142101154084,0.0006485285525288521,0.01,True,120
2.0,1.0,2,3.0,3.25,0.0024639787387524966,0.0006159946846881241,0.01,True,120
2.0,1.0,3,3.0,3.25,0.002816563807556616,0.000704140951889154,0.01,True,120
4.0,0.0,1,3.0,3.25,0.0004074930491604724,0.0001018732622901181,0.01,True,120
4.0,0.0,2,3.0,3.25,0.0004060958989566991,0.00010152397473917477,0.01,True,120
4.0,0.0,3,3.0,3.25,0.0003454905082682481,8.637262706706202e-05,0.01,True,120
4.0,0.25,1,3.0,3.25,-8.864478665234755e-05,2.2161196663086888e-05,0.01,True,120
4.0,0.25,2,3.0,3.25,-7.233600446754418e-05,1.8084001116886045e-05,0.01,True,120
4.0,0.25,3,3.0,3.25,0.00011960297736017047,2.9900744340042617e-05,0.01,True,120
4.0,0.5,1,3.0,3.25,-4.594937297468544e-05,1.148734324367136e-05,0.01,True,120
4.0,0.5,2,3.0,3.25,8.350584668319303e-05,2.0876461670798258e-05,0.01,True,120
4.0,0.5,3,3.0,3.25,0.00012358149057071176,3.089537264267794e-05,0.01,True,120
4.0,0.75,1,3.0,3.25,0.0006825744453320437,0.00017064361133301093,0.01,True,120
4.0,0.75,2,3.0,3.25,0.0011943842501852527,0.00029859606254631317,0.01,True,120
4.0,0.75,3,3.0,3.25,0.0006870740903449588,0.0001717685225862397,0.01,True,120
4.0,1.0,1,3.0,3.25,0.0008399226343749643,0.00020998065859374109,0.01,True,120
4.0,1.0,2,3.0,3.25,0.00042791253521572674,0.00010697813380393168,0.01,True,120
4.0,1.0,3,3.0,3.25,-0.0007440431331860532,0.0001860107832965133,0.01,True,120
