R,c,k,qss_target,valid_replicate_count,extinction_count,censoring_count,abm_mean,bootstrap_95_lower,bootstrap_95_upper,signed_discrepancy,discrepancy_95_lower,discrepancy_95_upper,absolute_discrepancy,absolute_relative_discrepancy,root_residual,K40_K80_max_difference_m1_m3,bessel_CF80_max_difference_m1_m3,number_of_roots_found
1.0,0.0,1,0.5,120,0,0,0.5032875282539246,0.49673512447571155,0.5099515264983635,0.003287528253924643,-0.0032648755242884464,0.009951526498363505,0.003287528253924643,0.006575056507849286,0.0,0.0,0.0,1
1.0,0.0,2,0.16666666666666666,120,0,0,0.16842355305181503,0.1620679564489166,0.1748297685556262,0.0017568863851483707,-0.004598710217750046,0.00816310188895955,0.0017568863851483707,0.010541318310890224,0.0,0.0,0.0,1
1.0,0.0,3,0.041666666666666664,120,0,0,0.04213959006273175,0.038975156477797694,0.04550777640240242,0.0004729233960650836,-0.00269151018886897,0.0038411097357357524,0.0004729233960650836,0.011350161505562006,0.0,0.0,0.0,1
1.0,0.25,1,0.5108736156527343,120,0,0,0.5097168262487697,0.5013246942952927,0.5176819594150044,-0.0011567894039645754,-0.009548921357441564,0.00680834376227013,0.0011567894039645754,0.0022643357740966246,5.551115123125783e-16,0.0,4.440892098500626e-16,1
1.0,0.25,2,0.17400292594822012,120,0,0,0.17571038630159433,0.16798443558768422,0.18342837124065856,0.0017074603533742128,-0.006018490360535894,0.009425445292438439,0.0017074603533742128,0.009812825526177184,5.551115123125783e-16,0.0,4.440892098500626e-16,1
1.0,0.25,3,0.04435285514561753,120,0,0,0.04607162505466002,0.04151269457056039,0.050790567104145284,0.001718769909042489,-0.002840160575057135,0.006437711958527756,0.001718769909042489,0.038752181869678784,5.551115123125783e-16,0.0,4.440892098500626e-16,1
1.0,0.5,1,0.5227637291717173,120,0,0,0.5167104526529929,0.5056950269416404,0.5279733416372269,-0.006053276518724449,-0.01706870223007695,0.00520961246550955,0.006053276518724449,0.011579373588744274,5.551115123125783e-16,0.0,6.661338147750939e-16,1
1.0,0.5,2,0.1822269998506533,120,0,0,0.17746281749884332,0.16653504509935657,0.18818683990837173,-0.004764182351809976,-0.015691954751296727,0.005959840057718435,0.004764182351809976,0.026144217682969748,5.551115123125783e-16,0.0,6.661338147750939e-16,1
1.0,0.5,3,0.047427125237216046,120,0,0,0.046236654432037436,0.04013338114314024,0.05289157884952842,-0.0011904708051786103,-0.0072937440940758075,0.0054644536123123755,0.0011904708051786103,0.02510105344197519,5.551115123125783e-16,0.0,6.661338147750939e-16,1
1.0,0.75,1,0.5358533671588979,120,0,0,0.5291741880732059,0.5159963628817844,0.5424506010732184,-0.006679179085691933,-0.019857004277113455,0.006597233914320544,0.006679179085691933,0.01246456492585842,2.55351295663786e-15,0.0,2.220446049250313e-16,1
1.0,0.75,2,0.19152985200513514,120,0,0,0.17918351317636058,0.16696817036425415,0.19126432152388118,-0.012346338828774561,-0.02456168164088099,-0.00026553048125396717,0.012346338828774561,0.06446169461063199,2.55351295663786e-15,0.0,2.220446049250313e-16,1
1.0,0.75,3,0.0509836642997209,120,0,0,0.043108568265232,0.03684234989780355,0.049156800805128506,-0.007875096034488896,-0.014141314401917349,-0.0018268634945923928,0.007875096034488896,0.1544631234858497,2.55351295663786e-15,0.0,2.220446049250313e-16,1
1.0,1.0,1,0.5503743263874501,120,0,0,0.5318461040618907,0.5176509474377229,0.5463229904321958,-0.018528222325559396,-0.03272337894972721,-0.004051335955254309,0.018528222325559396,0.03366476493766531,1.1102230246251565e-16,0.0,1.1102230246251565e-16,1
1.0,1.0,2,0.20216324637153923,120,0,0,0.1861052170096163,0.1716869430127606,0.20039392952296778,-0.016058029361922938,-0.030476303358778628,-0.001769316848571456,0.016058029361922938,0.07943100266806759,1.1102230246251565e-16,0.0,1.1102230246251565e-16,1
1.0,1.0,3,0.05515004781486884,120,0,0,0.04822373906989846,0.04021364418633184,0.05653521274019557,-0.006926308744970383,-0.014936403628537001,0.0013851649253267331,0.006926308744970383,0.12559025820287686,1.1102230246251565e-16,0.0,1.1102230246251565e-16,1
1.5,0.0,1,0.6,120,0,0,0.6008463397195274,0.5980148297025677,0.603724484498777,0.0008463397195274114,-0.0019851702974322816,0.0037244844987770476,0.0008463397195274114,0.0014105661992123524,0.0,0.0,0.0,1
1.5,0.0,2,0.2571428571428571,120,0,0,0.2586148276502032,0.25497471214354056,0.26219617399236617,0.0014719705073460987,-0.002168144999316557,0.005053316849509049,0.0014719705073460987,0.005724329750790384,0.0,0.0,0.0,1
1.5,0.0,3,0.0857142857142857,120,0,0,0.08718269694181738,0.08460649797224262,0.08983293693554542,0.0014684112275316769,-0.0011077877420430787,0.00411865122125972,0.0014684112275316769,0.0171314643212029,0.0,0.0,0.0,1
1.5,0.25,1,0.6105980002655472,120,0,0,0.6112837279517168,0.6073709519142082,0.615230464169317,0.0006857276861695905,-0.0032270483513390236,0.004632463903769812,0.0006857276861695905,0.0011230427971781263,8.881784197001252e-16,0.0,6.661338147750939e-16,1
1.5,0.25,2,0.2668499152728066,120,0,0,0.26483794813449185,0.2595190455975936,0.2698233627668756,-0.002011967138314752,-0.007330869675213014,0.0029734474940689704,0.002011967138314752,0.007539695623503846,8.881784197001252e-16,0.0,6.661338147750939e-16,1
1.5,0.25,3,0.0906272124105973,120,0,0,0.08940760039958007,0.08558699875270626,0.09308286827049325,-0.0012196120110172376,-0.005040213657891049,0.002455655859895947,0.0012196120110172376,0.013457459173428409,8.881784197001252e-16,0.0,6.661338147750939e-16,1
1.5,0.5,1,0.621855490660552,120,0,0,0.615146832058244,0.6097963543108897,0.6207891651261517,-0.00670865860230796,-0.01205913634966227,-0.0010663255344003364,0.00670865860230796,0.010788131170445787,2.220446049250313e-16,0.0,3.3306690738754696e-16,1
1.5,0.5,2,0.27742679796191416,120,0,0,0.2684310759102379,0.26201096660709494,0.2750425571555442,-0.008995722051676258,-0.01541583135481922,-0.0023842408063699527,0.008995722051676258,0.03242556998012576,2.220446049250313e-16,0.0,3.3306690738754696e-16,1
1.5,0.5,3,0.09609826381724978,120,0,0,0.08956184404822302,0.08531871280765108,0.09393851574871483,-0.006536419769026761,-0.010779551009598709,-0.0021597480685349585,0.006536419769026761,0.06801808387981993,2.220446049250313e-16,0.0,3.3306690738754696e-16,1
1.5,0.75,1,0.6338245820372387,120,0,0,0.6299285270423906,0.6238305711017939,0.6360232441841731,-0.0038960549948481304,-0.00999401093544483,0.002198662146934427,0.0038960549948481304,0.006146897904031163,1.1102230246251565e-16,0.0,3.3306690738754696e-16,1
1.5,0.75,2,0.28898499400388566,120,0,0,0.28359515989354117,0.2758174535704779,0.29165664911009553,-0.0053898341103444936,-0.013167540433407787,0.0026716551062098692,0.0053898341103444936,0.018650913445948762,1.1102230246251565e-16,0.0,3.3306690738754696e-16,1
1.5,0.75,3,0.10221831842922406,120,0,0,0.09875445909975657,0.09304281647409905,0.10463047770200365,-0.0034638593294674946,-0.00917550195512501,0.0024121592727795876,0.0034638593294674946,0.033886874512280986,1.1102230246251565e-16,0.0,3.3306690738754696e-16,1
1.5,1.0,1,0.646553437569525,120,0,0,0.641968261266274,0.6336522955520525,0.6502159026428005,-0.0045851763032509485,-0.0129011420174725,0.0036624650732755004,0.0045851763032509485,0.007091720555206076,1.1102230246251565e-16,0.0,1.6653345369377348e-16,1
1.5,1.0,2,0.3016477537091572,120,0,0,0.29588630148727296,0.28629087665868047,0.305676651633192,-0.0057614522218842334,-0.015356877050476725,0.004028897924034824,0.0057614522218842334,0.019099934115336763,1.1102230246251565e-16,0.0,1.6653345369377348e-16,1
1.5,1.0,3,0.109094410468019,120,0,0,0.10415913896173118,0.09715002840729191,0.11174250900423412,-0.004935271506287822,-0.011944382060727093,0.0026480985362151155,0.004935271506287822,0.045238536833512616,1.1102230246251565e-16,0.0,1.6653345369377348e-16,1
2.0,0.0,1,0.6666666666666666,120,0,0,0.6680779005436129,0.6665573059151978,0.669532030448976,0.001411233876946305,-0.0001093607514688344,0.0028653637823093936,0.001411233876946305,0.0021168508154194576,0.0,0.0,0.0,1
2.0,0.0,2,0.3333333333333333,120,0,0,0.3350803540663427,0.3329471367522011,0.33724917276941196,0.0017470207330093634,-0.00038619658113220323,0.00391583943607865,0.0017470207330093634,0.00524106219902809,0.0,0.0,0.0,1
2.0,0.0,3,0.13333333333333333,120,0,0,0.13481865140429858,0.1328455302435955,0.13665857465223136,0.001485318070965247,-0.00048780308973783715,0.0033252413188980257,0.001485318070965247,0.011139885532239352,0.0,0.0,0.0,1
2.0,0.25,1,0.6761067417004443,120,0,0,0.6735633390614557,0.6715874003558825,0.6755622133691416,-0.0025434026389885567,-0.004519341344561778,-0.0005445283313026961,0.0025434026389885567,0.0037618359382007704,1.1102230246251565e-16,0.0,4.440892098500626e-16,1
2.0,0.25,2,0.3438394257674556,120,0,0,0.3425442879780931,0.3395999462356816,0.34556145089529694,-0.001295137789362466,-0.004239479531773949,0.0017220251278413645,0.001295137789362466,0.0037666936724073917,1.1102230246251565e-16,0.0,4.440892098500626e-16,1
2.0,0.25,3,0.13989527514805467,120,0,0,0.13911346029001148,0.13669997452340166,0.14158078808487004,-0.0007818148580431838,-0.003195300624653008,0.0016855129368153754,0.0007818148580431838,0.005588572288919477,1.1102230246251565e-16,0.0,4.440892098500626e-16,1
2.0,0.5,1,0.6859094306187231,120,0,0,0.6854064616075282,0.6828393899938331,0.6880399288371466,-0.0005029690111949536,-0.0030700406248900247,0.002130498218423482,0.0005029690111949536,0.0007332877909861241,1.1102230246251565e-16,0.0,4.440892098500626e-16,1
2.0,0.5,2,0.3550151632993604,120,0,0,0.35488116804925324,0.3513352661662658,0.358511505446391,-0.00013399525010715507,-0.0036798971330945784,0.0034963421470305955,0.00013399525010715507,0.0003774352871631173,1.1102230246251565e-16,0.0,4.440892098500626e-16,1
2.0,0.5,3,0.14702466459968833,120,0,0,0.14778548680453493,0.14488146131716248,0.15061332234205815,0.0007608222048466062,-0.0021432032825258462,0.0035886577423698274,0.0007608222048466062,0.0051747929976112255,1.1102230246251565e-16,0.0,4.440892098500626e-16,1
2.0,0.75,1,0.6960702416719394,120,0,0,0.6941890035894019,0.6913635964730619,0.6969830196217721,-0.0018812380825374841,-0.004706645198877535,0.0009127779498326882,0.0018812380825374841,0.002702655522262822,1.7763568394002505e-15,0.0,6.661338147750939e-16,1
2.0,0.75,2,0.36689948132013983,120,0,0,0.36503855050051437,0.3607937560831858,0.36923341732645093,-0.0018609308196254615,-0.006105725236954018,0.002333936006311099,0.0018609308196254615,0.005072045381284412,1.7763568394002505e-15,0.0,6.661338147750939e-16,1
2.0,0.75,3,0.15477788804957984,120,0,0,0.1525875376516232,0.14906377892344494,0.15634956855480828,-0.0021903503979566474,-0.005714109126134903,0.0015716805052284344,0.0021903503979566474,0.01415157181402433,1.7763568394002505e-15,0.0,6.661338147750939e-16,1
2.0,1.0,1,0.7065742076083394,120,0,0,0.7038258709629023,0.6998180790080488,0.7078149235961395,-0.002748336645437166,-0.006756128600290623,0.0012407159878000673,0.002748336645437166,0.0038896645473940005,1.1102230246251565e-16,0.0,2.220446049250313e-16,1
2.0,1.0,2,0.3795244880323342,120,0,0,0.3774154650004,0.37123743653942193,0.3835052183367053,-0.002109023031934165,-0.008287051492912256,0.003980730304371127,0.002109023031934165,0.0055570143651823695,1.1102230246251565e-16,0.0,2.220446049250313e-16,1
2.0,1.0,3,0.16321267748675025,120,0,0,0.16312528692767447,0.15747689245207444,0.16892757389957366,-8.739055907577842e-05,-0.005735785034675811,0.005714896412823411,8.739055907577842e-05,0.0005354397735609286,1.1102230246251565e-16,0.0,2.220446049250313e-16,1
4.0,0.0,1,0.8,120,0,0,0.800007064240143,0.7999429690183925,0.8000693566558129,7.0642401429621415e-06,-5.703098160758646e-05,6.935665581286887e-05,7.0642401429621415e-06,8.830300178702677e-06,0.0,0.0,0.0,1
4.0,0.0,2,0.5333333333333333,120,0,0,0.5333563361095988,0.5332360823634991,0.5334807558792134,2.300277626543501e-05,-9.725096983426162e-05,0.00014742254588007153,2.300277626543501e-05,4.3130205497690643e-05,0.0,0.0,0.0,1
4.0,0.0,3,0.30476190476190473,120,0,0,0.30476455638305827,0.3046178136179259,0.30491871265851855,2.6516211535376755e-06,-0.0001440911439788417,0.00015680789661381977,2.6516211535376755e-06,8.700631910045498e-06,0.0,0.0,0.0,1
