closure,R,c,error,standard_error,ci_low,ci_high,ci_reaches_zero,n_replicates,n_times,tau_start,tau_end
algebraic_qss0,1.0,0.0,0.002274458937885721,0.00015813336598275007,0.0019645232358054395,0.0025843946399660023,False,120,151,0.0,5.0
dynamic_K1,1.0,0.0,0.000555710163852743,0.000581327402061076,0.0,0.0016950909351186876,True,120,151,0.0,5.0
dynamic_K2,1.0,0.0,0.000555710163852743,0.000581327402061076,0.0,0.0016950909351186876,True,120,151,0.0,5.0
dynamic_K3,1.0,0.0,0.000555710163852743,0.000581327402061076,0.0,0.0016950909351186876,True,120,151,0.0,5.0
algebraic_qss0,1.0,0.25,0.0023992909122470605,0.0002230775353570104,0.00196206697718736,0.0028365148473067613,False,120,151,0.0,5.0
dynamic_K1,1.0,0.25,0.0003743620457525181,0.0005295652347659158,0.0,0.0014122908333582115,True,120,151,0.0,5.0
dynamic_K2,1.0,0.25,0.00039593437181495374,0.00053564641905343,0.0,0.0014457820616075258,True,120,151,0.0,5.0
dynamic_K3,1.0,0.25,0.00039558628287813174,0.0005355751438041917,0.0,0.0014452942757492077,True,120,151,0.0,5.0
algebraic_qss0,1.0,0.5,0.0023162791878446783,0.00017087633381569287,0.0019813677277556764,0.00265119064793368,False,120,151,0.0,5.0
dynamic_K1,1.0,0.5,0.00039200427123672833,0.00033963516930084377,0.0,0.001057676970949546,True,120,151,0.0,5.0
dynamic_K2,1.0,0.5,0.00033869517832696465,0.00026282455085075237,0.0,0.0008538218322473553,True,120,151,0.0,5.0
dynamic_K3,1.0,0.5,0.00034031497845269027,0.00026565141531103155,0.0,0.0008609821849044043,True,120,151,0.0,5.0
algebraic_qss0,1.0,0.75,0.002274779982461833,0.0001126546018386303,0.002053981020165418,0.0024955789447582482,False,120,151,0.0,5.0
dynamic_K1,1.0,0.75,0.0005557868629564323,0.0004236773678576808,0.0,0.0013861792450222147,True,120,151,0.0,5.0
dynamic_K2,1.0,0.75,0.00041929957748410197,0.00039934608253010685,0.0,0.0012020035166102714,True,120,151,0.0,5.0
dynamic_K3,1.0,0.75,0.0004258746117883142,0.0004009169843612532,0.0,0.0012116574619267786,True,120,151,0.0,5.0
algebraic_qss0,1.0,1.0,0.002386661604283345,0.00015592071310172801,0.0020810626221601557,0.0026922605864065346,False,120,151,0.0,5.0
