c,interval,layer,model,error,standard_error,ci_low,ci_high
0.0,full_trajectory,stochastic_spread_around_ABM_mean,ABM_replicates,0.014660357197524173,,,
0.0,full_trajectory,closure_minus_ABM_mean,algebraic_qss0,0.0327753709133343,0.0003225915824146196,0.032143103030085864,0.03340763879658274
0.0,post_activation,stochastic_spread_around_ABM_mean,ABM_replicates,0.015302299799028215,,,
0.0,post_activation,closure_minus_ABM_mean,algebraic_qss0,0.034368467755499295,0.000337114417820868,0.03370773563790121,0.03502919987309738
0.25,full_trajectory,stochastic_spread_around_ABM_mean,ABM_replicates,0.016112921591356466,,,
0.25,full_trajectory,closure_minus_ABM_mean,algebraic_qss0,0.025932776892074544,0.0002744572463049391,0.025394850574020824,0.026470703210128264
0.25,post_activation,stochastic_spread_around_ABM_mean,ABM_replicates,0.0168553512442765,,,
0.25,post_activation,closure_minus_ABM_mean,algebraic_qss0,0.027106783609122526,0.00028557182331807044,0.02654707312041967,0.02766649409782538
0.5,full_trajectory,stochastic_spread_around_ABM_mean,ABM_replicates,0.016527498696691102,,,
0.5,full_trajectory,closure_minus_ABM_mean,algebraic_qss0,0.021786398396471802,0.00023502236883570678,0.02132576301799253,0.022247033774951075
0.5,post_activation,stochastic_spread_around_ABM_mean,ABM_replicates,0.01730107176301933,,,
0.5,post_activation,closure_minus_ABM_mean,algebraic_qss0,0.02269948568602488,0.00024411477906993408,0.02222102951095386,0.023177941861095903
0.75,full_trajectory,stochastic_spread_around_ABM_mean,ABM_replicates,0.01589786598413109,,,
0.75,full_trajectory,closure_minus_ABM_mean,algebraic_qss0,0.020282515150250237,0.00022939142165665524,0.019832916225440752,0.02073211407505972
0.75,post_activation,stochastic_spread_around_ABM_mean,ABM_replicates,0.01663265647820065,,,
0.75,post_activation,closure_minus_ABM_mean,algebraic_qss0,0.02109804760413453,0.0002427066112013359,0.020622351387370143,0.021573743820898914
1.0,full_trajectory,stochastic_spread_around_ABM_mean,ABM_replicates,0.01688665044212909,,,
1.0,full_trajectory,closure_minus_ABM_mean,algebraic_qss0,0.02053691327986901,0.0004739869671536399,0.019607915895106506,0.021465910664631514
1.0,post_activation,stochastic_spread_around_ABM_mean,ABM_replicates,0.017675616975781554,,,
1.0,post_activation,closure_minus_ABM_mean,algebraic_qss0,0.02136610691521191,0.0005018581842203576,0.02038248294879334,0.02234973088163048
