analytical_table_id,configuration_sha256,R,c,zero_terminal_depth_K,m1_K,difference_from_previous_depth,fixed_point_residual,stable_bessel_cf_difference,simple_root_margin,admissible,root_bracket_left,root_bracket_right,bracket_expansions,bracket_source
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.0,20,0.5,nan,0.0,0.0,1.0,True,1.0,1.0,0,exact_c0
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.25,20,0.510873615652689,nan,4.285460875053104e-14,4.241051954068098e-14,0.9366139296068348,True,0.84,1.0,3,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.5,20,0.5227637291717167,nan,0.0,6.661338147750939e-16,0.8713854961644594,True,0.7122815960868277,1.0,3,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.75,20,0.5358533671588974,nan,1.1102230246251565e-16,3.3306690738754696e-16,0.8042197924536671,True,0.5786181354141416,0.8986181354141417,3,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,1.0,20,0.5503743263874502,nan,0.0,1.1102230246251565e-16,0.7350541249335705,True,0.4381099746308269,0.758109974630827,3,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.0,40,0.5,0.0,0.0,0.0,1.0,True,1.0,1.0,0,exact_c0
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.25,40,0.510873615652689,0.0,4.285460875053104e-14,4.241051954068098e-14,0.9366139296068348,True,0.84,1.0,3,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.5,40,0.5227637291717167,0.0,0.0,6.661338147750939e-16,0.8713854961644594,True,0.7122815960868277,1.0,3,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.75,40,0.5358533671588974,0.0,1.1102230246251565e-16,3.3306690738754696e-16,0.8042197924536671,True,0.5786181354141416,0.8986181354141417,3,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,1.0,40,0.5503743263874502,0.0,0.0,1.1102230246251565e-16,0.7350541249335705,True,0.4381099746308269,0.758109974630827,3,local_continuation
