closure,R,c,n_replicates,n_timepoints,mean_signed_defect,mean_absolute_defect,root_mean_square_defect,maximum_absolute_defect
algebraic_qss0,1.0,0.0,120,136,0.0,0.0,0.0,0.0
dynamic_K1,1.0,0.0,120,136,0.0,0.0,0.0,0.0
dynamic_K2,1.0,0.0,120,136,0.0,0.0,0.0,0.0
dynamic_K3,1.0,0.0,120,136,0.0,0.0,0.0,0.0
algebraic_qss0,1.0,0.25,120,136,0.004395495431486307,0.005372035988219594,0.011083382163177783,0.045785803448350315
dynamic_K1,1.0,0.25,120,136,-0.002290786097886425,0.002430755086063768,0.003917606234005147,0.011424821306021878
dynamic_K2,1.0,0.25,120,136,-0.0005622474201019897,0.0006306145370931344,0.0008819693241819848,0.0021729538090256226
dynamic_K3,1.0,0.25,120,136,-0.00010536974244341653,0.00015136245433010158,0.00018394049796459572,0.0004568448034781387
algebraic_qss0,1.0,0.5,120,136,0.004344908679873063,0.012406504143444677,0.02165704386121618,0.09192802268585318
dynamic_K1,1.0,0.5,120,136,-0.002817042818922095,0.004324563940325054,0.007355077696609276,0.023845627133568623
dynamic_K2,1.0,0.5,120,136,-0.0010036057351941513,0.0019187841457258001,0.0022237124985091785,0.004622888204237181
dynamic_K3,1.0,0.5,120,136,-0.0001628547883179152,0.00042150758048387267,0.0004834757637849288,0.0011430655230038984
algebraic_qss0,1.0,0.75,120,136,0.0019553989007915088,0.02081250466138737,0.03204274793669877,0.13596435988152594
dynamic_K1,1.0,0.75,120,136,-0.00038617005400957684,0.008662613683536295,0.011612552409217325,0.03484754954836901
dynamic_K2,1.0,0.75,120,136,0.00032919113679575224,0.002617309256870887,0.0031407867600185533,0.006332643575657111
dynamic_K3,1.0,0.75,120,136,0.0002125355583349611,0.000769932853294633,0.0010629578191080843,0.004188873850191481
algebraic_qss0,1.0,1.0,120,136,-0.006907035978613172,0.03621839841498439,0.04795941089427533,0.18537522621174085
dynamic_K1,1.0,1.0,120,136,2.5541832116397686e-05,0.01352587481389359,0.01757102956263542,0.04887513050927968
dynamic_K2,1.0,1.0,120,136,-0.0004436585788003644,0.003498043338552204,0.004328036332840356,0.009098171941040536
dynamic_K3,1.0,1.0,120,136,-0.0006371966972092409,0.0009471511627883742,0.0010964689296257234,0.0024585443008632787
algebraic_qss0,1.5,0.0,120,136,0.0,0.0,0.0,0.0
dynamic_K1,1.5,0.0,120,136,0.0,0.0,0.0,0.0
dynamic_K2,1.5,0.0,120,136,0.0,0.0,0.0,0.0
dynamic_K3,1.5,0.0,120,136,0.0,0.0,0.0,0.0
algebraic_qss0,1.5,0.25,120,136,7.614317189871944e-05,0.006274992802740342,0.009556601630530268,0.04352253648091213
dynamic_K1,1.5,0.25,120,136,-0.0004295552877427736,0.0032356414257970656,0.004814102750635192,0.017578763014797175
dynamic_K2,1.5,0.25,120,136,-0.0001688435093188518,0.00114779375016888,0.001547750223060674,0.0043549030876029945
dynamic_K3,1.5,0.25,120,136,-8.149943188044475e-05,0.0003273221072238568,0.0004172807425527958,0.0010587624298604341
algebraic_qss0,1.5,0.5,120,136,-0.0041112608998023475,0.015764662882671775,0.02086041915654421,0.0889268064482773
dynamic_K1,1.5,0.5,120,136,0.001071046474439264,0.008525021069719266,0.011083190162260672,0.03592522900804469
dynamic_K2,1.5,0.5,120,136,0.00040318176018733443,0.002817471569567704,0.0034299242272174827,0.008595516231761274
dynamic_K3,1.5,0.5,120,136,9.477233644938251e-05,0.0007566182442815179,0.0009034553672588726,0.002035549331474479
algebraic_qss0,1.5,0.75,120,136,-0.011076443206268586,0.02685477624176836,0.03274687757882701,0.12817614256760546
dynamic_K1,1.5,0.75,120,136,0.0029227274214057956,0.013395125277730738,0.016826119637681825,0.05414726233202777
dynamic_K2,1.5,0.75,120,136,0.0005395779133095563,0.004014982045662986,0.004979025854601814,0.013016740662671186
dynamic_K3,1.5,0.75,120,136,0.0001487625346362632,0.001145738537886394,0.001351353341091661,0.003343690236448118
