c,interval,layer,model,error,standard_error,ci_low,ci_high
0.0,full_trajectory,stochastic_spread_around_ABM_mean,ABM_replicates,0.014660357197524173,,,
0.0,full_trajectory,closure_minus_ABM_mean,dynamic_K1,0.0012129513366734635,0.000999526889346259,0.0,0.003171988041371483
0.0,full_trajectory,closure_minus_ABM_mean,dynamic_K2,0.0012129513366734143,0.0009995268893462513,0.0,0.0031719880413714186
0.0,full_trajectory,closure_minus_ABM_mean,dynamic_K3,0.0012129513366734143,0.0009995268893462513,0.0,0.0031719880413714186
0.0,post_activation,stochastic_spread_around_ABM_mean,ABM_replicates,0.015302299799028215,,,
0.0,post_activation,closure_minus_ABM_mean,dynamic_K1,0.0012635616998531605,0.0010455737773243925,0.0,0.003312848646588472
0.0,post_activation,closure_minus_ABM_mean,dynamic_K2,0.0012635616998531078,0.0010455737773243847,0.0,0.0033128486465884037
0.0,post_activation,closure_minus_ABM_mean,dynamic_K3,0.0012635616998531078,0.0010455737773243847,0.0,0.0033128486465884037
0.25,full_trajectory,stochastic_spread_around_ABM_mean,ABM_replicates,0.016112921591356466,,,
0.25,full_trajectory,closure_minus_ABM_mean,dynamic_K1,0.0025824237811899998,0.0009116990404922966,0.0007955264970853741,0.004369321065294625
0.25,full_trajectory,closure_minus_ABM_mean,dynamic_K2,0.002108569607605172,0.0012207714319187653,0.0,0.004501237647521343
0.25,full_trajectory,closure_minus_ABM_mean,dynamic_K3,0.002103970198969969,0.0012189106442041218,0.0,0.004492991161982564
0.25,post_activation,stochastic_spread_around_ABM_mean,ABM_replicates,0.0168553512442765,,,
0.25,post_activation,closure_minus_ABM_mean,dynamic_K1,0.002715258952255203,0.000954493627617789,0.0008444858186513508,0.004586032085859055
0.25,post_activation,closure_minus_ABM_mean,dynamic_K2,0.0022142270445869913,0.0012802733878938422,0.0,0.004723516775224
0.25,post_activation,closure_minus_ABM_mean,dynamic_K3,0.0022093604083333706,0.0012783086946615957,0.0,0.004714799410994507
0.5,full_trajectory,stochastic_spread_around_ABM_mean,ABM_replicates,0.016527498696691102,,,
0.5,full_trajectory,closure_minus_ABM_mean,dynamic_K1,0.0035171237421305307,0.000645104656631825,0.0022527418488730755,0.004781505635387985
0.5,full_trajectory,closure_minus_ABM_mean,dynamic_K2,0.0019813221895065144,0.0012804928883314,0.0,0.004491042133095728
0.5,full_trajectory,closure_minus_ABM_mean,dynamic_K3,0.001972386718826713,0.0012745919081774471,0.0,0.0044705409538406925
0.5,post_activation,stochastic_spread_around_ABM_mean,ABM_replicates,0.01730107176301933,,,
0.5,post_activation,closure_minus_ABM_mean,dynamic_K1,0.0037065326302412886,0.0006780415379923796,0.002377595635754078,0.005035469624728499
0.5,post_activation,closure_minus_ABM_mean,dynamic_K2,0.0020870031481400107,0.0013468285590198363,0.0,0.004726738617168868
0.5,post_activation,closure_minus_ABM_mean,dynamic_K3,0.002077577562741121,0.0013405991593734591,0.0,0.0047051036328177726
0.75,full_trajectory,stochastic_spread_around_ABM_mean,ABM_replicates,0.01589786598413109,,,
0.75,full_trajectory,closure_minus_ABM_mean,dynamic_K1,0.0040622311238873105,0.00013792766605149183,0.0037918978659547188,0.004332564381819903
0.75,full_trajectory,closure_minus_ABM_mean,dynamic_K2,0.0008399633580407982,0.0005927402365153589,0.0,0.002001712873798655
0.75,full_trajectory,closure_minus_ABM_mean,dynamic_K3,0.0006323708800545334,0.0007166817211154971,0.0,0.0020370412418190867
0.75,post_activation,stochastic_spread_around_ABM_mean,ABM_replicates,0.01663265647820065,,,
0.75,post_activation,closure_minus_ABM_mean,dynamic_K1,0.004281636851742735,0.0001450793522411905,0.003997286546449601,0.004565987157035868
0.75,post_activation,closure_minus_ABM_mean,dynamic_K2,0.0008837982777344275,0.0006228107718097265,0.0,0.0021044849596650855
0.75,post_activation,closure_minus_ABM_mean,dynamic_K3,0.0006644495994961017,0.0007535272335551546,0.0,0.0021413358386343064
1.0,full_trajectory,stochastic_spread_around_ABM_mean,ABM_replicates,0.01688665044212909,,,
1.0,full_trajectory,closure_minus_ABM_mean,dynamic_K1,0.006237382686032269,0.00040217949505461277,0.005449125360404723,0.007025640011659814
1.0,full_trajectory,closure_minus_ABM_mean,dynamic_K2,0.0009094186643504726,0.0001444578574197617,0.0006262864665239174,0.0011925508621770278
1.0,full_trajectory,closure_minus_ABM_mean,dynamic_K3,0.0006187404422593054,0.00031218192357792326,6.875115422140207e-06,0.0012306057690964706
1.0,post_activation,stochastic_spread_around_ABM_mean,ABM_replicates,0.017675616975781554,,,
1.0,post_activation,closure_minus_ABM_mean,dynamic_K1,0.006574466553983081,0.00042377024588949677,0.005743892134319984,0.0074050409736461775
1.0,post_activation,closure_minus_ABM_mean,dynamic_K2,0.0009564685959599393,0.0001522909937281379,0.0006579837330829737,0.001254953458836905
1.0,post_activation,closure_minus_ABM_mean,dynamic_K3,0.0006490560542220466,0.0003280337845625098,6.1216507671563e-06,0.001291990457676937
