protocol_id,R,c,Gamma,decomposition_id,decomposition,beta,gamma,gamma_c,p_f,U0,I0
R2_c0_G0.25_L,2.0,0.0,0.25,L,"less-frequent detection, complete tracing",6.25e-05,0.25,0.0,1.0,8000,160
R2_c0_G0.25_M,2.0,0.0,0.25,M,intermediate decomposition,6.25e-05,0.125,0.125,0.0,8000,160
R2_c0_G0.25_F,2.0,0.0,0.25,F,"frequent detection, partial tracing",6.25e-05,0.0,0.25,0.0,8000,160
R2_c0_G0.5_L,2.0,0.0,0.5,L,"less-frequent detection, complete tracing",0.000125,0.5,0.0,1.0,8000,160
R2_c0_G0.5_M,2.0,0.0,0.5,M,intermediate decomposition,0.000125,0.25,0.25,0.0,8000,160
R2_c0_G0.5_F,2.0,0.0,0.5,F,"frequent detection, partial tracing",0.000125,0.0,0.5,0.0,8000,160
R2_c0_G1_L,2.0,0.0,1.0,L,"less-frequent detection, complete tracing",0.00025,1.0,0.0,1.0,8000,160
R2_c0_G1_M,2.0,0.0,1.0,M,intermediate decomposition,0.00025,0.5,0.5,0.0,8000,160
R2_c0_G1_F,2.0,0.0,1.0,F,"frequent detection, partial tracing",0.00025,0.0,1.0,0.0,8000,160
R2_c0_G2_L,2.0,0.0,2.0,L,"less-frequent detection, complete tracing",0.0005,2.0,0.0,1.0,8000,160
R2_c0_G2_M,2.0,0.0,2.0,M,intermediate decomposition,0.0005,1.0,1.0,0.0,8000,160
R2_c0_G2_F,2.0,0.0,2.0,F,"frequent detection, partial tracing",0.0005,0.0,2.0,0.0,8000,160
R2_c0_G4_L,2.0,0.0,4.0,L,"less-frequent detection, complete tracing",0.001,4.0,0.0,1.0,8000,160
R2_c0_G4_M,2.0,0.0,4.0,M,intermediate decomposition,0.001,2.0,2.0,0.0,8000,160
R2_c0_G4_F,2.0,0.0,4.0,F,"frequent detection, partial tracing",0.001,0.0,4.0,0.0,8000,160
R2_c0.25_G0.25_L,2.0,0.25,0.25,L,"less-frequent detection, complete tracing",6.25e-05,0.1875,0.0625,1.0,8000,160
R2_c0.25_G0.25_M,2.0,0.25,0.25,M,intermediate decomposition,6.25e-05,0.09375,0.15625,0.4,8000,160
R2_c0.25_G0.25_F,2.0,0.25,0.25,F,"frequent detection, partial tracing",6.25e-05,0.0,0.25,0.25,8000,160
R2_c0.25_G0.5_L,2.0,0.25,0.5,L,"less-frequent detection, complete tracing",0.000125,0.375,0.125,1.0,8000,160
R2_c0.25_G0.5_M,2.0,0.25,0.5,M,intermediate decomposition,0.000125,0.1875,0.3125,0.4,8000,160
R2_c0.25_G0.5_F,2.0,0.25,0.5,F,"frequent detection, partial tracing",0.000125,0.0,0.5,0.25,8000,160
R2_c0.25_G1_L,2.0,0.25,1.0,L,"less-frequent detection, complete tracing",0.00025,0.75,0.25,1.0,8000,160
R2_c0.25_G1_M,2.0,0.25,1.0,M,intermediate decomposition,0.00025,0.375,0.625,0.4,8000,160
R2_c0.25_G1_F,2.0,0.25,1.0,F,"frequent detection, partial tracing",0.00025,0.0,1.0,0.25,8000,160
R2_c0.25_G2_L,2.0,0.25,2.0,L,"less-frequent detection, complete tracing",0.0005,1.5,0.5,1.0,8000,160
R2_c0.25_G2_M,2.0,0.25,2.0,M,intermediate decomposition,0.0005,0.75,1.25,0.4,8000,160
R2_c0.25_G2_F,2.0,0.25,2.0,F,"frequent detection, partial tracing",0.0005,0.0,2.0,0.25,8000,160
R2_c0.25_G4_L,2.0,0.25,4.0,L,"less-frequent detection, complete tracing",0.001,3.0,1.0,1.0,8000,160
R2_c0.25_G4_M,2.0,0.25,4.0,M,intermediate decomposition,0.001,1.5,2.5,0.4,8000,160
R2_c0.25_G4_F,2.0,0.25,4.0,F,"frequent detection, partial tracing",0.001,0.0,4.0,0.25,8000,160
R2_c0.5_G0.25_L,2.0,0.5,0.25,L,"less-frequent detection, complete tracing",6.25e-05,0.125,0.125,1.0,8000,160
R2_c0.5_G0.25_M,2.0,0.5,0.25,M,intermediate decomposition,6.25e-05,0.0625,0.1875,0.6666666666666666,8000,160
R2_c0.5_G0.25_F,2.0,0.5,0.25,F,"frequent detection, partial tracing",6.25e-05,0.0,0.25,0.5,8000,160
R2_c0.5_G0.5_L,2.0,0.5,0.5,L,"less-frequent detection, complete tracing",0.000125,0.25,0.25,1.0,8000,160
R2_c0.5_G0.5_M,2.0,0.5,0.5,M,intermediate decomposition,0.000125,0.125,0.375,0.6666666666666666,8000,160
R2_c0.5_G0.5_F,2.0,0.5,0.5,F,"frequent detection, partial tracing",0.000125,0.0,0.5,0.5,8000,160
