R,c,protocols,estimates,median,mean,q90,max
2.0,0.0,15,450,0.0017863119429374,0.0021043320721296326,0.00398335062328141,0.006453588766745
2.0,0.25,15,450,0.0020282890749244,0.0023024480386868284,0.00411779419886534,0.00681555822043
2.0,0.5,15,450,0.0017607861217583,0.002100403572136247,0.003910294896758542,0.0069177298362879
2.0,0.75,15,450,0.00165843711419905,0.0019500667825191275,0.0035454302462303105,0.006670788558537
2.0,1.0,5,150,0.00161296555904115,0.0017720160921540161,0.00301414919235704,0.0054445348117767
4.0,0.0,15,450,0.0012254348174048,0.0014016212401685517,0.0024661555573486605,0.0042245352528561
4.0,0.25,15,450,0.0012937827183736,0.0014793374992912189,0.002606732004377831,0.0047663574529176
4.0,0.5,15,450,0.00130316963503745,0.0015022099025026447,0.0024736529579017005,0.0046735144887442
4.0,0.75,15,450,0.0013679429525253499,0.0015375878540878725,0.0024931548092221503,0.006012043915813
4.0,1.0,5,150,0.0015452510329424,0.0017303357744339338,0.0029636017218287,0.0047255814272758
6.0,0.0,15,450,0.0009921716118369002,0.001135895144743078,0.00187049164721334,0.003309586161658
6.0,0.25,15,450,0.0010118749579664,0.0011315989033237107,0.0019497032797315202,0.0035269650897142
6.0,0.5,15,450,0.0009946440119297999,0.0011459259647951788,0.0019877644577539003,0.0038972001907147
6.0,0.75,15,450,0.0010060941083155999,0.001173786236281029,0.00199922218663609,0.0034806897810527
6.0,1.0,5,150,0.0010460246111281,0.0011480346664778866,0.00179207332942383,0.0030645827106635
