R,c,replicate,k,seed,window_start,window_end,valid_time_points,replicate_time_average,extinction_time,censoring_time,peak_active,infection_events,identification_events,traced_removals
1.0,0.0,0,1,10925774724811960352,3.0,3.25,26,0.4730094898706603,nan,nan,162,452,463,0
1.0,0.0,0,2,10925774724811960352,3.0,3.25,26,0.11517221796599299,nan,nan,162,452,463,0
1.0,0.0,0,3,10925774724811960352,3.0,3.25,26,0.015623817644770747,nan,nan,162,452,463,0
1.0,0.0,1,1,1403119267936022998,3.0,3.25,26,0.5995923370168055,nan,nan,214,567,518,0
1.0,0.0,1,2,1403119267936022998,3.0,3.25,26,0.2477027227587507,nan,nan,214,567,518,0
1.0,0.0,1,3,1403119267936022998,3.0,3.25,26,0.08912565986206257,nan,nan,214,567,518,0
1.0,0.0,2,1,1507324924897162092,3.0,3.25,26,0.42190358927475013,nan,nan,181,555,550,0
1.0,0.0,2,2,1507324924897162092,3.0,3.25,26,0.13518872594226383,nan,nan,181,555,550,0
1.0,0.0,2,3,1507324924897162092,3.0,3.25,26,0.024637581937154818,nan,nan,181,555,550,0
1.0,0.0,3,1,6578987099601519261,3.0,3.25,26,0.5008545856936517,nan,nan,192,496,511,0
1.0,0.0,3,2,6578987099601519261,3.0,3.25,26,0.15011365543817237,nan,nan,192,496,511,0
1.0,0.0,3,3,6578987099601519261,3.0,3.25,26,0.034829418079439255,nan,nan,192,496,511,0
1.0,0.0,4,1,991127578722350882,3.0,3.25,26,0.521255868766365,nan,nan,214,621,569,0
1.0,0.0,4,2,991127578722350882,3.0,3.25,26,0.23546423870424238,nan,nan,214,621,569,0
1.0,0.0,4,3,991127578722350882,3.0,3.25,26,0.0707192533353452,nan,nan,214,621,569,0
1.0,0.0,5,1,9670090923377258128,3.0,3.25,26,0.5277179017093913,nan,nan,199,606,595,0
1.0,0.0,5,2,9670090923377258128,3.0,3.25,26,0.20169515989333361,nan,nan,199,606,595,0
1.0,0.0,5,3,9670090923377258128,3.0,3.25,26,0.061531033357031854,nan,nan,199,606,595,0
