analytical_table_id,configuration_sha256,R,c,epsilon,retained_order_p,m1_canonical_selected_qss,m1_perturbative,signed_error_approximation_minus_qss,absolute_error_e_p,first_omitted_term_indicator,canonical_accepted_depth,canonical_fixed_point_residual,canonical_depth_doubling_difference,canonical_bessel_cf_difference,canonical_root_error_estimate
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.0,0.0,0,0.5,0.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.0,0.0,1,0.5,0.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.0,0.0,2,0.5,0.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.001,0.00025,0,0.5000416736125057,0.5,-4.167361250573265e-05,4.167361250573265e-05,4.1666666666666665e-05,40,5.440092820663267e-15,0.0,6.106226635438361e-15,5.4414532595601946e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.001,0.00025,1,0.5000416736125057,0.5000416666666667,-6.9458390150600735e-09,6.9458390150600735e-09,6.9444444444444435e-09,40,5.440092820663267e-15,0.0,6.106226635438361e-15,5.4414532595601946e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.001,0.00025,2,0.5000416736125057,0.5000416736111112,-1.3945511412316591e-12,1.3945511412316591e-12,1.388888888888889e-12,40,5.440092820663267e-15,0.0,6.106226635438361e-15,5.4414532595601946e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.002,0.0005,0,0.5000833611222277,0.5,-8.336112222773195e-05,8.336112222773195e-05,8.333333333333333e-05,40,8.881784197001252e-16,0.0,7.771561172376096e-16,8.886227804665187e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.002,0.0005,1,0.5000833611222277,0.5000833333333333,-2.7788894407798637e-08,2.7788894407798637e-08,2.7777777777777774e-08,40,8.881784197001252e-16,0.0,7.771561172376096e-16,8.886227804665187e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.002,0.0005,2,0.5000833611222277,0.5000833611111111,-1.1116663145571692e-11,1.1116663145571692e-11,1.1111111111111113e-11,40,8.881784197001252e-16,0.0,7.771561172376096e-16,8.886227804665187e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.003,0.00075,0,0.5001250625375301,0.5,-0.00012506253753008512,0.00012506253753008512,0.000125,40,6.106226635438361e-15,0.0,5.995204332975845e-15,6.110810507361157e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.003,0.00075,1,0.5001250625375301,0.500125,-6.25375300433717e-08,6.25375300433717e-08,6.25e-08,40,6.106226635438361e-15,0.0,5.995204332975845e-15,6.110810507361157e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.003,0.00075,2,0.5001250625375301,0.5001250625,-3.7530090146731254e-11,3.7530090146731254e-11,3.75e-11,40,6.106226635438361e-15,0.0,5.995204332975845e-15,6.110810507361157e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.004,0.001,0,0.5001667778667396,0.5,-0.00016677786673957584,0.00016677786673957584,0.00016666666666666666,40,2.7755575615628914e-15,0.0,1.9984014443252818e-15,2.7783365156924995e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.004,0.001,1,0.5001667778667396,0.5001666666666666,-1.1120007292753087e-07,1.1120007292753087e-07,1.111111111111111e-07,40,2.7755575615628914e-15,0.0,1.9984014443252818e-15,2.7783365156924995e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.004,0.001,2,0.5001667778667396,0.5001667777777777,-8.89618378963064e-11,8.89618378963064e-11,8.88888888888889e-11,40,2.7755575615628914e-15,0.0,1.9984014443252818e-15,2.7783365156924995e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.005,0.00125,0,0.5002085071182272,0.5,-0.00020850711822717471,0.00020850711822717471,0.00020833333333333332,40,1.3322676295501878e-14,0.0,1.3211653993039363e-14,1.3339355123056092e-14
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.005,0.00125,1,0.5002085071182272,0.5002083333333334,-1.737848938088149e-07,1.737848938088149e-07,1.7361111111111112e-07,40,1.3322676295501878e-14,0.0,1.3211653993039363e-14,1.3339355123056092e-14
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.005,0.00125,2,0.5002085071182272,0.5002085069444445,-1.7378265493306344e-10,1.7378265493306344e-10,1.7361111111111115e-10,40,1.3322676295501878e-14,0.0,1.3211653993039363e-14,1.3339355123056092e-14
