scope,R,retained_order_p,maximum_absolute_error,maximum_error_c,signed_error_zero_crossing_brackets_excluding_c0
per_R,1.0,0,0.05037432638745032,1.0,
per_R,1.0,1,0.00870765972078369,1.0,
per_R,1.0,2,0.0017632152763392694,1.0,
per_R,1.5,0,0.046553437569524125,1.0,
per_R,1.5,1,0.005410580426666978,1.0,
per_R,1.5,2,0.0005518049164630057,1.0,
per_R,2.0,0,0.039907540941673925,1.0,
per_R,2.0,1,0.002870503904636834,1.0,
per_R,2.0,2,1.0154531577155623e-05,1.0,"[0.894,0.895]"
per_R,4.0,0,0.02111182146726942,1.0,
per_R,4.0,1,0.00022151186606389484,1.0,
per_R,4.0,2,0.00014024202479401282,1.0,
global_displayed_domain,1.0,0,0.05037432638745032,1.0,see per_R rows
global_displayed_domain,1.0,1,0.00870765972078369,1.0,see per_R rows
global_displayed_domain,1.0,2,0.0017632152763392694,1.0,see per_R rows
