dataset,phase,R,c,initial_infectious,replicates,pooled_R_time,bootstrap_95_low,bootstrap_95_high,analytical_R_time,difference_from_analytical,relative_MCSE,total_parent_person_time,total_cohort_births,total_completed_cohort,incomplete_cohort
CP_COHORT_R2,PRODUCTION,1.0,0.0,4000,300,0.9967229879148382,0.9885020937877301,1.0049030419126999,1.0,-0.0032770120851618456,0.004191714574448445,119819.80609012532,119074,119074,0
CP_COHORT_R2,PRODUCTION,1.0,0.25,6311,300,0.8807010608359174,0.8744353981103861,0.8868588922418009,0.8802097486190604,0.0004913122168569428,0.003760906042507242,127631.71707024492,127496,127496,0
CP_COHORT_R2,PRODUCTION,1.0,0.5,10398,300,0.76879762886292,0.7628618254059905,0.774763434568314,0.7708570032575437,-0.0020593743946236698,0.0038782743670348514,135929.2066570285,135593,135593,0
CP_COHORT_R2,PRODUCTION,1.0,0.75,17982,300,0.6725565979530579,0.6674790835355776,0.6776357498982932,0.672000459830944,0.0005561381221138584,0.0038480510941961052,146059.5374246539,146059,146059,0
CP_COHORT_R2,PRODUCTION,1.0,1.0,20000,300,0.5831160486229884,0.5774120944345469,0.5888331949486364,0.5837490334021397,-0.0006329847791513021,0.00497785657978555,97212.08057509053,97154,97154,0
CP_COHORT_R2,PRODUCTION,1.5,0.0,893,300,1.5020258666439592,1.492522479859754,1.5117535462446228,1.5,0.0020258666439592066,0.003390603387981073,122900.92416114733,184415,184415,0
CP_COHORT_R2,PRODUCTION,1.5,0.25,1406,300,1.3218869314188446,1.3134045408550081,1.3303979245760642,1.3217843725556793,0.00010255886316534735,0.0032843183400849824,130673.23373714226,196225,196225,0
CP_COHORT_R2,PRODUCTION,1.5,0.5,2251,300,1.1628556138064796,1.1557027796856865,1.1703508480372153,1.1617719098763426,0.0010837039301370144,0.003184680771654495,137321.82858289633,206039,206039,0
CP_COHORT_R2,PRODUCTION,1.5,0.75,3709,300,1.0178673020657305,1.0113041842468298,1.0245932019791455,1.0194019540332033,-0.001534651967472822,0.0033546341974620745,146532.82776251243,219573,219573,0
CP_COHORT_R2,PRODUCTION,1.5,1.0,6287,300,0.8953200630919319,0.8900288673920063,0.9006805935131822,0.8940845164131651,0.0012355466787667968,0.003086439942462753,156873.05432539305,236245,236245,0
CP_COHORT_R2,PRODUCTION,2.0,0.0,256,300,2.002368691508232,1.9922426795708321,2.0117645590618385,2.0,0.002368691508232157,0.0024581648773292987,125861.9353595254,252210,252210,0
CP_COHORT_R2,PRODUCTION,2.0,0.25,404,300,1.7518618114579823,1.7420198663765727,1.7617359691026762,1.7636468300553614,-0.011785018597379127,0.002856951564608742,131928.2450472341,262808,262808,0
CP_COHORT_R2,PRODUCTION,2.0,0.5,655,300,1.5608733537036108,1.552785439010513,1.5691428318400107,1.5536098888662233,0.00726346483738749,0.0026750527142949637,139424.1301260345,280165,280165,0
CP_COHORT_R2,PRODUCTION,2.0,0.75,1077,300,1.3695612631004779,1.3617544664663206,1.3769901399702313,1.3683959113961728,0.0011653517043050954,0.002898079572157123,146002.44271255683,291663,291663,0
CP_COHORT_R2,PRODUCTION,2.0,1.0,1803,300,1.212506557907101,1.2055819794945055,1.2192660953752104,1.2064627682695768,0.006043789637524277,0.0028633788913562564,155415.82938196504,311319,311319,0
CP_COHORT_R2,PRODUCTION,4.0,0.0,50,300,4.0030151508787934,3.9957703468087877,4.01005417388744,4.0,0.003015150878793449,0.0009427075813774275,689119.8037879065,2756677,2756677,0
CP_COHORT_R2,PRODUCTION,4.0,0.25,50,300,3.5260843395940964,3.518409989480662,3.5333369310488245,3.532183648920288,-0.0060993093261916265,0.001132044553457189,432844.537678026,1729790,1729790,0
CP_COHORT_R2,PRODUCTION,4.0,0.5,50,300,3.1235223895510416,3.1144812793293344,3.1323440714537716,3.124271756116325,-0.0007493665652833492,0.0015062426893069998,279031.2724749141,1115923,1115923,0
CP_COHORT_R2,PRODUCTION,4.0,0.75,50,300,2.7724896790228435,2.761919835871404,2.782724350039737,2.769876293468549,0.0026133855542944673,0.0019578401051094387,170180.40109733684,682549,682549,0
CP_COHORT_R2,PRODUCTION,4.0,1.0,73,300,2.4599592332796427,2.450533320321279,2.469456318404979,2.463019011464442,-0.003059778184799189,0.0020307973859625397,155076.17420018621,619169,619169,0
