dataset,phase,R,c,boundary_side,initial_infectious,replicates,event_growth_estimate,bootstrap_95_low,bootstrap_95_high,analytical_growth,extinctions_before_window_end,total_person_time
CP_COHORT_R2,PRODUCTION,1.0,0.0,curve_cell,4000,300,-0.008028722724491882,-0.015969599419546825,-0.000157108497778693,0.0,0,119819.80609012532
CP_COHORT_R2,PRODUCTION,1.0,0.25,curve_cell,6311,300,-0.12646543014943884,-0.1348277350386639,-0.11831010820850439,-0.12771840391318368,0,127631.71707024492
CP_COHORT_R2,PRODUCTION,1.0,0.5,curve_cell,10398,300,-0.2632473246922299,-0.27174524938040945,-0.2543512816218324,-0.2613818645858593,0,135929.2066570285
CP_COHORT_R2,PRODUCTION,1.0,0.75,curve_cell,17982,300,-0.4068957155958268,-0.4157771828014748,-0.39813484767405766,-0.4018900253691732,0,146059.5374246539
CP_COHORT_R2,PRODUCTION,1.0,1.0,curve_cell,20000,300,-0.5474216752196124,-0.5608926485961907,-0.5342927610631302,-0.5503743263874502,0,97212.08057509053
CP_COHORT_R2,PRODUCTION,1.5,0.0,curve_cell,893,300,0.5003623888081422,0.4920160424092778,0.5087524069338446,0.5,0,122900.92416114733
CP_COHORT_R2,PRODUCTION,1.5,0.25,curve_cell,1406,300,0.3448831769990112,0.3355915034240071,0.35393665879874314,0.347350499933613,0,130673.23373714226
CP_COHORT_R2,PRODUCTION,1.5,0.5,curve_cell,2251,300,0.18824392499547346,0.1782401854322047,0.1983541312531926,0.18907225466972344,0,137321.82858289633
CP_COHORT_R2,PRODUCTION,1.5,0.75,curve_cell,3709,300,0.02398779886850204,0.013204857608066122,0.03476313988626468,0.024631563472070184,0,146532.82776251243
CP_COHORT_R2,PRODUCTION,1.5,1.0,curve_cell,6287,300,-0.1462137656376796,-0.15650389169285112,-0.13572434448494153,-0.146553437569524,0,156873.05432539305
CP_COHORT_R2,PRODUCTION,2.0,0.0,curve_cell,256,300,1.0056177798192507,0.9965997042964544,1.014614186964768,1.0,0,125861.9353595254
CP_COHORT_R2,PRODUCTION,2.0,0.25,curve_cell,404,300,0.8213252587511147,0.811310706476461,0.8311273938186309,0.830973314574889,0,131928.2450472341
CP_COHORT_R2,PRODUCTION,2.0,0.5,curve_cell,655,300,0.6609544554210016,0.6500817911092763,0.6714922880481958,0.6570452846906383,0,139424.1301260345
CP_COHORT_R2,PRODUCTION,2.0,0.75,curve_cell,1077,300,0.4848138064330637,0.4739456522526184,0.4960397020791878,0.4779473187460448,0,146002.44271255683
CP_COHORT_R2,PRODUCTION,2.0,1.0,curve_cell,1803,300,0.2991329788276692,0.28700002968430693,0.31136232630198546,0.29342579239165945,0,155415.82938196504
CP_COHORT_R2,PRODUCTION,4.0,0.0,curve_cell,50,300,3.000154673593321,2.9948904795014717,3.005453912112307,3.0,0,689119.8037879065
CP_COHORT_R2,PRODUCTION,4.0,0.25,curve_cell,50,300,2.794206452247439,2.7869311312677234,2.801072172358269,2.7986684587221364,0,432844.537678026
