R,c,total_replicates,valid_primary_replicates,complete_primary_replicates,extinct_before_primary_window,extinct_by_primary_window_end,extinct_by_tau_end,safety_censored_by_tau_end,earliest_extinction_time
1.0,0.0,120,120,120,0,0,0,0,
1.0,0.25,120,120,120,0,0,0,0,
1.0,0.5,120,120,120,0,0,0,0,
1.0,0.75,120,120,120,0,0,0,0,
1.0,1.0,120,120,120,0,0,0,0,
1.5,0.0,120,120,120,0,0,0,0,
1.5,0.25,120,120,120,0,0,0,0,
1.5,0.5,120,120,120,0,0,0,0,
1.5,0.75,120,120,120,0,0,0,0,
1.5,1.0,120,120,120,0,0,0,0,
2.0,0.0,120,120,120,0,0,0,0,
2.0,0.25,120,120,120,0,0,0,0,
2.0,0.5,120,120,120,0,0,0,0,
2.0,0.75,120,120,120,0,0,0,0,
2.0,1.0,120,120,120,0,0,0,0,
4.0,0.0,120,120,120,0,0,0,0,
4.0,0.25,120,120,120,0,0,0,0,
4.0,0.5,120,120,120,0,0,0,0,
4.0,0.75,120,120,120,0,0,0,0,
4.0,1.0,120,120,120,0,0,0,0,
