R,c,selected_m1_root,m1_qss,m2_qss,m3_qss,fixed_point_residual,K40_K80_max_difference_m1_m3,bessel_CF80_max_difference_m1_m3,number_of_bessel_roots_found,all_bessel_roots,selection_rule
1.0,0.0,0.5,0.5,0.16666666666666666,0.041666666666666664,0.0,0.0,0.0,1,0.5,closest to preceding c-continuation value
1.0,0.25,0.5108736156527348,0.5108736156527343,0.17400292594822012,0.04435285514561753,5.551115123125783e-16,0.0,4.440892098500626e-16,1,0.51087361565273481,closest to preceding c-continuation value
1.0,0.5,0.5227637291717168,0.5227637291717173,0.1822269998506533,0.047427125237216046,5.551115123125783e-16,0.0,6.661338147750939e-16,1,0.52276372917171676,closest to preceding c-continuation value
1.0,0.75,0.5358533671589004,0.5358533671588979,0.19152985200513514,0.0509836642997209,2.55351295663786e-15,0.0,2.220446049250313e-16,1,0.53585336715890042,closest to preceding c-continuation value
1.0,1.0,0.5503743263874502,0.5503743263874501,0.20216324637153923,0.05515004781486884,1.1102230246251565e-16,0.0,1.1102230246251565e-16,1,0.55037432638745021,closest to preceding c-continuation value
1.5,0.0,0.6,0.6,0.2571428571428571,0.0857142857142857,0.0,0.0,0.0,1,0.59999999999999998,closest to preceding c-continuation value
1.5,0.25,0.6105980002655481,0.6105980002655472,0.2668499152728066,0.0906272124105973,8.881784197001252e-16,0.0,6.661338147750939e-16,1,0.61059800026554811,closest to preceding c-continuation value
1.5,0.5,0.6218554906605521,0.621855490660552,0.27742679796191416,0.09609826381724978,2.220446049250313e-16,0.0,3.3306690738754696e-16,1,0.62185549066055212,closest to preceding c-continuation value
1.5,0.75,0.6338245820372388,0.6338245820372387,0.28898499400388566,0.10221831842922406,1.1102230246251565e-16,0.0,3.3306690738754696e-16,1,0.63382458203723879,closest to preceding c-continuation value
1.5,1.0,0.646553437569525,0.646553437569525,0.3016477537091572,0.109094410468019,1.1102230246251565e-16,0.0,1.6653345369377348e-16,1,0.64655343756952499,closest to preceding c-continuation value
2.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.13333333333333333,0.0,0.0,0.0,1,0.66666666666666663,closest to preceding c-continuation value
2.0,0.25,0.6761067417004444,0.6761067417004443,0.3438394257674556,0.13989527514805467,1.1102230246251565e-16,0.0,4.440892098500626e-16,1,0.67610674170044438,closest to preceding c-continuation value
2.0,0.5,0.685909430618723,0.6859094306187231,0.3550151632993604,0.14702466459968833,1.1102230246251565e-16,0.0,4.440892098500626e-16,1,0.685909430618723,closest to preceding c-continuation value
2.0,0.75,0.6960702416719412,0.6960702416719394,0.36689948132013983,0.15477788804957984,1.7763568394002505e-15,0.0,6.661338147750939e-16,1,0.6960702416719412,closest to preceding c-continuation value
2.0,1.0,0.7065742076083393,0.7065742076083394,0.3795244880323342,0.16321267748675025,1.1102230246251565e-16,0.0,2.220446049250313e-16,1,0.70657420760833933,closest to preceding c-continuation value
4.0,0.0,0.8,0.8,0.5333333333333333,0.30476190476190473,0.0,0.0,0.0,1,0.80000000000000004,closest to preceding c-continuation value
4.0,0.25,0.8053261651114555,0.8053261651114556,0.5420269299840241,0.3130807910778931,1.1102230246251565e-16,0.0,8.881784197001252e-16,1,0.80532616511145549,closest to preceding c-continuation value
4.0,0.5,0.8106293434845696,0.8106293434845692,0.5508264976725245,0.3216328979884426,2.220446049250313e-16,0.0,7.771561172376096e-16,1,0.81062934348456961,closest to preceding c-continuation value
4.0,0.75,0.8158959654017429,0.8158959654017417,0.5597131236805604,0.3304078387581857,1.1102230246251565e-15,0.0,4.440892098500626e-16,1,0.81589596540174292,closest to preceding c-continuation value
4.0,1.0,0.8211118214672692,0.8211118214672687,0.5686655160169485,0.3393921674296888,5.551115123125783e-16,0.0,9.992007221626409e-16,1,0.82111182146726924,closest to preceding c-continuation value
