analytical_table_id,configuration_sha256,R,R_zero_handling,c,m1_canonical_selected_qss,m1_zeroth_order,m1_first_order,accepted_depth,fixed_point_residual,bessel_cf_difference
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,0.02,R>0; left boundary is R_to_0_plus limit,1.0,0.01979870398371524,0.0196078431372549,0.019794441619343427,40,1.0408340855860843e-17,1.3877787807814457e-17
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,0.044950000000000004,R>0; left boundary is R_to_0_plus limit,1.0,0.043925583763549894,0.0430164122685296,0.04388235698642019,40,2.0816681711721685e-16,2.2898349882893854e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,0.0699,R>0; left boundary is R_to_0_plus limit,1.0,0.06740586594315794,0.06533320871109449,0.06726062455370041,40,1.096345236817342e-15,1.0685896612017132e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,0.09485,R>0; left boundary is R_to_0_plus limit,1.0,0.0902295051286894,0.08663287208293373,0.08990520793996144,40,1.4155343563970746e-15,1.457167719820518e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,0.1198,R>0; left boundary is R_to_0_plus limit,1.0,0.11238909793038157,0.10698338989105198,0.11180505850669258,40,0.0,0.0
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,0.14475,R>0; left boundary is R_to_0_plus limit,1.0,0.13387997651893846,0.12644682245031666,0.13295903417247346,40,2.7755575615628914e-17,2.7755575615628914e-17
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,0.1697,R>0; left boundary is R_to_0_plus limit,1.0,0.15470024735728677,0.14507993502607505,0.15337348614623456,40,2.7755575615628914e-17,5.551115123125783e-17
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,0.19465,R>0; left boundary is R_to_0_plus limit,1.0,0.17485077416867328,0.16293475076382202,0.17306036748891046,40,0.0,1.6653345369377348e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,0.2196,R>0; left boundary is R_to_0_plus limit,1.0,0.19433510678711205,0.18005903574942603,0.19203575056197986,40,0.0,8.326672684688674e-17
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,0.24455,R>0; left boundary is R_to_0_plus limit,1.0,0.21315935995112129,0.1964967257241573,0.2103186656989705,40,0.0,8.326672684688674e-17
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,0.2695,R>0; left boundary is R_to_0_plus limit,1.0,0.23133204815818215,0.21228830248129185,0.2279301928020743,40,0.0,1.6653345369377348e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,0.29445,R>0; left boundary is R_to_0_plus limit,1.0,0.24886388425338407,0.22747112673336167,0.24489275246912048,40,5.551115123125783e-17,2.7755575615628914e-17
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,0.3194,R>0; left boundary is R_to_0_plus limit,1.0,0.2657675504000273,0.24207973321206613,0.26122955477305704,40,0.0,2.7755575615628914e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,0.34435000000000004,R>0; left boundary is R_to_0_plus limit,1.0,0.2820574504557885,0.256146092907353,0.27696417275154256,40,0.0,1.1102230246251565e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,0.3693,R>0; left boundary is R_to_0_plus limit,1.0,0.297749452597487,0.26969984663696783,0.29212021462286536,40,0.0,1.6653345369377348e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,0.39425,R>0; left boundary is R_to_0_plus limit,1.0,0.31286063038829093,0.2827685135377443,0.3067210741826551,40,5.551115123125783e-17,2.220446049250313e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,0.4192,R>0; left boundary is R_to_0_plus limit,1.0,0.32740900947969587,0.29537767756482525,0.32078974310003416,40,5.551115123125783e-17,1.1102230246251565e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,0.44415000000000004,R>0; left boundary is R_to_0_plus limit,1.0,0.34141332591393775,0.3075511546584496,0.33434867218584996,40,0.0,1.1102230246251565e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,0.4691,R>0; left boundary is R_to_0_plus limit,1.0,0.3548928006630478,0.3193111428765911,0.3474196713514096,40,0.0,1.6653345369377348e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,0.49405,R>0; left boundary is R_to_0_plus limit,1.0,0.36786693371467427,0.3306783574846892,0.36002384006891036,40,5.551115123125783e-17,2.220446049250313e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,0.519,R>0; left boundary is R_to_0_plus limit,1.0,0.3803553197751307,0.34167215273206053,0.3721815218042836,40,5.551115123125783e-17,2.220446049250313e-16
