R,c,high_depth_order,check_depth_order,max_abs_difference_U_I_M1
2.0,0.0,40,80,1.4655487934334133e-10
2.0,0.25,40,80,8.728007205860422e-11
2.0,0.5,40,80,3.394007297430335e-11
2.0,0.75,40,80,1.511546443566658e-11
2.0,1.0,40,80,1.0169087794054121e-11
4.0,0.0,40,80,6.847850064772842e-11
4.0,0.25,40,80,7.037403992882219e-11
4.0,0.5,40,80,8.791772865279768e-11
4.0,0.75,40,80,8.837192089217183e-11
4.0,1.0,40,80,6.276618114142707e-11
6.0,0.0,40,80,2.987728953129931e-10
6.0,0.25,40,80,1.3879308813358193e-10
6.0,0.5,40,80,1.4020301586370465e-10
6.0,0.75,40,80,2.6678914633038175e-10
6.0,1.0,40,80,1.5035911404837066e-10
